pos_word,pos_freq,pos_total
growth,9,89.0
enable,1,
allow,3,
advantages,2,
leading,1,
hospitality,1,
leadership,6,
live,3,
help,3,
encourage,2,
future,1,
confidence,1,
easily,2,
consistent,1,
appeal,2,
benefit,4,
well,3,
food,1,
worth,2,
attractive,2,
aim,1,
open,2,
renewed,1,
allowing,3,
will,7,
participation,1,
extra,1,
reality,1,
influence,2,
presence,2,
start,1,
rest,1,
protect,1,
create,1,
skilled,1,
enjoy,1,
accepted,1,
opening,2,
tolerance,1,
celebrate,1,
transformation,1,
innovate,1,
better,2,
connected,1,
time,1,
benefits,1,
